,newavg
민감하다,1.0
예민하다,0.9555555555555555
짜증내다,0.8222222222222223
싫어하다,0.6888888888888889
꺼리다하다,0.7555555555555555
안맞다,0.7777777777777778
싫다,0.6444444444444444
덥다,0.6666666666666666
신경쓰이다,0.8666666666666667
그만두다,0.24444444444444446
신경쓰다,0.8444444444444443
기분,0.7777777777777778
바로,1.0
떠오르다,0.7555555555555555
즉시,0.9555555555555555
무지성,1.0
당일치기,0.8666666666666667
잠시들르다,0.7777777777777778
갑자기,0.8888888888888888
해보다,0.9777777777777779
참여하다,0.9777777777777779
채다린지,0.9777777777777779
모험,0.9555555555555555
자신감,0.7777777777777778
열정,0.8
목표,0.8888888888888888
성취,0.8888888888888888
언제해보다,0.911111111111111
SNS,1.0
소셜,1.0
콘텐츠,0.8888888888888888
유투브,0.9555555555555555
블로그,0.9333333333333333
네이버,0.7777777777777778
사진,0.9555555555555555
영상,0.9333333333333333
공유,0.9777777777777779
촬영,0.8666666666666667
사진기,0.8666666666666667
카메라,0.8666666666666667
캠코더,0.8666666666666667
동영상,0.8888888888888888
편집,0.7777777777777778
인스타,1.0
페이스북,1.0
브이로그,0.9555555555555555
업로드,0.9777777777777779
올리다,0.7555555555555555
소비,0.6888888888888889
텅장,0.8888888888888888
쇼핑,0.6666666666666666
순삭,0.511111111111111
지름신,1.0
기차,0.7777777777777778
비행기,0.9777777777777779
퍼스트,0.7333333333333332
프레스티지,0.5333333333333332
온라인,0.7555555555555555
급행열차,0.8666666666666667
